,Negative,Neutral,Positive
"Quando scoprì di essere incinta di lei, ero solo una ragazzina, a tratti bambina, di quasi sedici anni che della vita sapeva ben poco.",0.015402683056890965,0.9681896567344666,0.016407692804932594
Ero spaventata e per un momento sperai di morire all‘istante:,0.9629701375961304,0.036499347537755966,0.0005305758677423
cazzo!,0.7307525873184204,0.2636323869228363,0.005615027155727148
Ero incinta di un ragazzo che conoscevo solo di vista e che tra una settimana non lo avrei più rivisto e in più i miei genitori mi avrebbero ucciso.,0.8622751832008362,0.13653947412967682,0.0011854140320792794
"Ma poi mia madre mi trovò in bagno accasciata per terra a piangere e quando capì la situazione mi abbracciò senza dire nulla, facendomi però già sentire meglio.",0.08835098147392273,0.5213953852653503,0.39025363326072693
"Quando poi finalmente mi calmai, mi prese le mani e mi disse testuali parole :"" Piccola mia, sei ancora piccola, ma la decisione spetta a te.",0.0018139848252758384,0.910222053527832,0.08796395361423492
"Se vorrai abortire, io e tuo papà saremo con te e faremo lo stesso se vorrai tenerlo"".",0.00023652180971112102,0.9622759819030762,0.037487443536520004
Lo disse in un modo così profondo da farmi sciogliere.,0.002757702022790909,0.3998301029205322,0.5974121689796448
"Pochi genitori reagivano in quel modo a una notizia come quella, ed io mi sentivo molto fortunata ad averli.",0.00017453846521675587,0.0017169498605653644,0.9981085062026978
Ma c‘era lo stesso un problema: io lo volevo questo bambino?.,0.46437492966651917,0.5334842801094055,0.0021407357417047024
"Una parte di me mi diceva di abortire e continuare la mia vita, ma l‘altra mi diceva di non farlo, di prendere coraggio e provarci.",0.009217476472258568,0.9659584164619446,0.02482408657670021
A distanza di quattro anni non mi pento di aver scelto la seconda opzione.,0.032804232090711594,0.16095097362995148,0.8062447905540466
"È stato difficile certamente, ma infondo avevo tutto quello che mi serviva:",0.0018878447590395808,0.03554492071270943,0.9625672698020935
"possibilità economiche, famiglia sostenitrice e soprattutto volevo diventare madre.",0.009687884710729122,0.9583797454833984,0.03193233162164688
"Volevo diventare madre e prendermi cura di un piccolo neonato che, una volta diventato grande, mi chiamasse mamma.",0.0038971942849457264,0.9676694273948669,0.02843339741230011
"Cercai anche di dirlo a Dylan, il padre, ma quando andai a casa sua scoprì che era partito insieme alla famiglia a Portland, per chissà quanto tempo.",0.0020323442295193672,0.9626674652099609,0.03530017286539078
"Ero triste, molto triste, volevo che mio figlio o figlia avesse un padre, ma alla fine riuscì ad accettarlo e fare da entrambi i genitori alla mia bellissima bambina Eve.<<Mamma a che stai pensando?>> mi domanda proprio lei, guardandomi con quei occhietti marroni che mi ricordano il colore vivace del cacao.",0.9924949407577515,0.006308560725301504,0.0011964964214712381
"Modestamente ho  una bambina proprio bella, tutto merito mio ovviamente, che di bellezza ne ho da vendere.",0.00015158081077970564,0.001114089391194284,0.9987342953681946
"Non si può dire lo stesso del carattere, che di bello non ha niente, ma fin‘ora non ho conosciuto nessuno a cui mi importasse di risultare simpatica o buona, perciò non è un vero problema.<<A te e a quanto sei bellina amore>> la prendo in braccio e la riempio di baci.",0.000234826875384897,0.0011634922120720148,0.9986017346382141
"Di sicuro dirle ""stavo pensando a tuo padre che non sa niente di te"" non era una risposta adatta.",0.9856520891189575,0.014211497269570827,0.0001364569179713726
"Lei pensa che suo padre sia in un posto chiamato ""paradiso"", dove vanno gli adulti per un periodo di tempo e che quando tornano portano con sé molti regali.",0.0011726097436621785,0.8678579926490784,0.13096940517425537
"Mi sento in colpa a mentirle, ma è ancora troppo piccola per capire.",0.761106550693512,0.23109516501426697,0.007798361591994762
"<<Non ti credo, sei una bugiona>> mette il broncio.",0.8594520092010498,0.1397377848625183,0.000810237368568778
"È piccola, ma molto intelligente.",0.0001920848008012399,0.0038018052000552416,0.9960060715675354
Sempre grazie a me.<<Come osi darmi della bugiarda!,0.01336636207997799,0.0650215670466423,0.9216120839118958
Ora dovrò punirti>> fingo di rimproverarla e assumo un‘espressione arrabbiata.,0.9930205941200256,0.006824403069913387,0.00015500742301810533
<<Noo!,0.016285095363855362,0.9821895360946655,0.001525449100881815
Scusa mamma>>.,0.008890395052731037,0.990374743938446,0.0007348112994804978
"Scende dalle mie braccia cercando di scappare, ma ormai è troppo tardi.",0.537651777267456,0.4576948881149292,0.004653274081647396
"La prendo e, dopo averla appoggiata sul divano, inizio a solleticarle i piccoli fianchi.",0.0015829793410375714,0.9436455368995667,0.05477146431803703
<<Chi è la bugiarda eh?>> domando.<<Nes - suno m - mamma nessuno>> balbetta tra le risate.,0.028932780027389526,0.968643307685852,0.0024238654877990484
"<<Mmh, meglio>> mi fermo e le permetto di sistemarsi i vestiti e i capelli marrone scuro.",0.05063670501112938,0.7235157489776611,0.22584755718708038
"Purtroppo, esteticamente, è tutta suo padre o almeno per quel che ricordo.",0.9889390468597412,0.010614239610731602,0.0004467191465664655
"Ricordo che era bello e che aveva sempre uno sguardo da cattivo ragazzo stampato su quel viso da angioletto, che faceva impazzire tutte.",0.0008183602476492524,0.0023549464531242847,0.996826708316803
Me compresa.<<Non è giusto!,0.5597715973854065,0.4392782151699066,0.0009502653265371919
"Anche io voglio farti il solletico>> si imbroncia, di nuovo.",0.09802751988172531,0.2982536852359772,0.6037188172340393
<<Non ci riusciresti lo stesso>> la prendo in giro.,0.005016013979911804,0.9276711940765381,0.0673128291964531
"<<A volte non capisco chi sia più bambino, se tu o lei>> esclama una voce dietro di noi.",0.0011416188208386302,0.9965751767158508,0.0022831407841295004
"Riconoscendo la voce del mio migliore amico, un sorriso da stronza si stampa sul mio viso.",0.02864135056734085,0.029110252857208252,0.9422484636306763
<<Ovviamente lei>> le faccio la linguaccia.,0.21167463064193726,0.7872688174247742,0.0010565159609541297
"<<Bugionaa>> ripete e questa volta riesce a scappare saltando sulle braccia di Kyle.<<Guarda come corre da suo zio, si vede che non la tratti bene>> si prende gioco di me.",0.06152978539466858,0.8787500858306885,0.05972013249993324
Dire che io non tratto bene Eve è come dire che che la pizza è americana: una cazzata enorme.,0.9947105646133423,0.0050008888356387615,0.00028854934498667717
"Eve è la mia vita e non le storcerei nemmeno un capello, come ogni brava mamma d‘altronde.",0.00024159780878107995,0.006448408123105764,0.9933099746704102
<<,0.0004624588182196021,0.988676905632019,0.010860598646104336
Vi cresceranno due nasoni enormi se non smettete di sparare ca- bugie>> mi correggo.,0.8885865211486816,0.10872305929660797,0.002690305467694998
"Non voglio che mia figlia impari già le parolacce, insomma non voglio vietarle di farlo per sempre essendo la prima che le dice, ma voglio che non le dica almeno fino ai dieci anni.",0.875886082649231,0.11554470658302307,0.008569207042455673
"<<Meglio, io ho il naso piccolo>> si lamenta la mocciosetta.",0.786763072013855,0.2119663804769516,0.0012705554254353046
<<Perché tu sei piccola>> ribatto.,0.0010782199678942561,0.9977242350578308,0.001197576755657792
"Ok si a volte mi comporto davvero da bambina, ma sono fatta così.",0.00024281075457111,0.01602792553603649,0.9837293028831482
<<Non è vero!.,0.6131231188774109,0.385824978351593,0.0010519172064960003
"Io sono grande, vero zio?>> si rivolge a Kyle che annuisce complice.",0.0018542392645031214,0.8019589781761169,0.19618675112724304
<<Vabbè ormai io non sono più la mamma>> sbuffo fintamente offesa.,0.7839422821998596,0.2153445929288864,0.0007131774909794331
"<<Non fare la vittimista Crudelia e vai a lavoro che è tardi>>mi rimprovera Mr. - kyle - so- tutto - io.È così da quando andavamo alle medie insieme e ancora oggi mi chiedo come faccio ad essere amica di un sapientone fastidioso come lui, essendo tutto il contrario.",0.8814747333526611,0.11716528981924057,0.0013599112862721086
"<<Tanto lo so che non vedete l‘ora di levarmi di torno, ma tranquilli ora me ne vado>> mi allontano verso l‘ attaccapanni per prendere il mio cappotto.",0.0065111201256513596,0.3443685472011566,0.6491203308105469
"<<Mi raccomando non fate troppo casino e quando tornano mamma e papà ditegli che oggi ceno fuori a lavoro, ci vediamo sta sera>> mi raccomando e mi riavvicino a loro per salutarli.",0.00019165227422490716,0.013974018394947052,0.9858343005180359
"So che faranno tutto il contrario di quello che ho detto, ma almeno questa volta so come andrà a finire, per cui non mi arrabbierò.",0.0018925531767308712,0.007619373966008425,0.9904881119728088
Più o meno.,0.0005923961289227009,0.9920158386230469,0.00739175034686923
Dipende tutto dal tipo di casino che faranno.,0.005427606403827667,0.9860905408859253,0.008481920696794987
"Va bene, a dopo>> mi saluta Kyle lasciandomi due baci in guancia.",0.0005000056698918343,0.7319736480712891,0.26752638816833496
"<<Ciao mamma, ricordati di non fare tardi e portami il gelato>> mi abbraccia Eve.<<Va bene amore, ci vediamo!>> li saluto per un‘ultima volta e esco di casa.",8.941139094531536e-05,0.026951340958476067,0.9729592800140381
Lavoro da qualche anno in un‘azienda di un amico di papà e mi trovo molto bene lì.,0.00015688860730733722,0.0018277084454894066,0.9980154037475586
"Non è un lavoro difficile, anzi, devo solo stare seduta tutto il giorno a rispondere alle chiamate dei clienti.",0.040057048201560974,0.28317001461982727,0.676772952079773
"Più che altro è noioso, ma pagano benissimo per cui mi accontento.",0.9941235184669495,0.0032361100893467665,0.002640355611220002
Accendo il motore della macchina e prima di partire mi metto la cintura per evitaredi fare la stessa cazzata di qualche mese fa:,0.9381967782974243,0.06061201170086861,0.0011912236222997308
avevo appena preso la patente e come una stupida mi dimenticai di mettere la cintura e indovinate un po‘ chi quel giorno fece un‘incidente?,0.8418906927108765,0.15774895250797272,0.0003604363009799272
"Io. Fortunatamente non era niente di grave, ma mi sono spaventata tantissimo.",0.2502050995826721,0.051445867866277695,0.6983489990234375
"Quando finalmente sono pronta, accendo la radio e parto verso la mia meta canticchiando spensierata.****Angolo autrice:È ufficialmente cominciata la storia e da oggi vi immergete nella storia di Olivia.",0.00014263599587138742,0.13990682363510132,0.8599505424499512
Allora che ne pensate?,0.0003995673614554107,0.9657039642333984,0.03389639034867287
Vi piace come inizio?,0.0005684489733539522,0.9826719760894775,0.016759507358074188
E Eve?,0.00021936075063422322,0.9910796284675598,0.008701025508344173
Quanto è dolce!.,0.0005769162671640515,0.0009664695244282484,0.998456597328186
Ne vedrete di belle e brutte con lei già vi avverto!.,0.0028277828823775053,0.004429004620760679,0.9927432537078857
"Ci vediamo al prossimo capitolo, bye<3Come ho promesso alla mia piccola, dopo aver finito di lavorare passo al supermercato per comprarle il gelato.",0.0024734260514378548,0.8752030730247498,0.12232346832752228
Ho una figlia molto ma molto golosa e se non le porto il cibo che vuole quando me lo chiede si arrabbia molto e mi tieni il broncio per giorni.,0.16490614414215088,0.0162530355155468,0.8188408017158508
"Lo ammetto, la vizio parecchio ma la mocciosa è così brava a manipolarmi con quei occhietti innocenti, o quasi.",0.0018840701086446643,0.005806043278425932,0.9923099279403687
"Parcheggio l‘auto tra un‘auto nera e un furgone, poi scendo e entro nel supermercato.",0.03359811380505562,0.9613407850265503,0.005061123985797167
Mi dirigo direttamente al reparto frigorifero e prendo tre tipi di gelato:,0.0016136299818754196,0.9703512787818909,0.02803504467010498
"il magnum, il cornetto e i calippo.",0.001092369551770389,0.9733604192733765,0.025547213852405548
"I calippo sono per Eve, il cornetto per me e i magnum per in miei genitori.",0.0022618917282670736,0.6265082955360413,0.37122979760169983
"Kyle invece mangia tutti tipi di gelato, perciò gli prendo come il mio: ormai è come se vivesse con noi, quindi quando prendo qualcosa la prendo anche per lui.",0.0009324211860075593,0.4381856918334961,0.5608817934989929
"Noi siamo amici dai tempi delle medie, esattamente dalla seconda media, quando un giorno lo difesi dai bulli.",0.003908589947968721,0.9824358224868774,0.013655596412718296
"Purtroppo veniva bullizzato perché era il solito secchione, ma se sapessero cosa si nasconde sotto ""quel secchione"" rimarrebbero a bocca aperta.",0.9940531849861145,0.005724394228309393,0.00022239089594222605
Oltre ad essere il mio migliore amico è anche il fratello che non ho mai avuto e l‘uomo della mia vita:,0.001716514816507697,0.011512288823723793,0.9867711663246155
lui verrà sempre prima dei futuri uomini con cui mi metterò.,0.0009269606089219451,0.8366365432739258,0.16243652999401093
"Quando finisco di prendere i gelati mi giro pronta per andarmene, ma per sbaglio finisco per scontrarmi con qualcuno.",0.9763280749320984,0.023370817303657532,0.00030105788027867675
<<Ma che cazzo>> mi lamento portandomi la mano sulla fronte.,0.9771907329559326,0.022507477551698685,0.00030181510373950005
"<<Oddio scusa, è colpa mia non ti ho vista>> si scusa una voce femminile.",0.8781578540802002,0.1214221715927124,0.0004199903050903231
Alzo lo sguardo per vedere chi è e rimango incantata dalla bellezza di questa donna:,0.0001411113771609962,0.0028185276314616203,0.997040331363678
"viso da ventenne, capelli mossi e marroni, lineamenti delicati e occhi marroni con sfumature verdi.",0.015193959698081017,0.9697887897491455,0.015017179772257805
"Non so perché, ma mi ricorda qualcuno.",0.0012429947964847088,0.9950447082519531,0.003712264820933342
<<Fa niente>> sbuffo rialzandomi.,0.1583380252122879,0.8389871716499329,0.002674842718988657
"Non voglio essere sgarbata, ma non riesco a nascondere la mia natura.",0.061225369572639465,0.7474371194839478,0.19133754074573517
<<Scusa davvero>> continua a scusarsi e se non fosse per quel bel faccino le avrei già tirato un pugno.,0.9378672242164612,0.056391939520835876,0.005740792024880648
"<<Fa niente, sto bene>> la rassicuro e senza nemmeno chiederle se anche lei sta bene, la saluto con un cenno distratto e me ne vado.",0.0002480562834534794,0.0329851470887661,0.9667667746543884
"Oggi non è proprio giornata, prima il litigio con una mia collega stronza a lavoro, poi il caffè sui vestiti e infine questo.",0.9805566072463989,0.018757382407784462,0.0006860216381028295
"Non vedo l‘ora di riabbracciare Eve, lei si che riesce a calmare i miei nervi, e ingenuamente, migliorarmi le giornate.*****<<Sono tornataa!> urlo per farmi sentire da tutti.",0.0001285901671508327,0.0036795774940401316,0.9961918592453003
"<<Ciao tesoro sei finalmente a casa,",0.00025664540589787066,0.18654170632362366,0.8132016658782959
Eve ci stava rompendo le scatole per il gelato>> mi informa mio padre venendomi in contro per salutarmi.,0.06402333825826645,0.9334475994110107,0.002529104007408023
"Mio padre è uno senza peli sulla lingua e quando si tratta di dire la verità è il primo, anche se si tratta di sua nipote.",0.0014685639180243015,0.9615609645843506,0.03697037696838379
"Bah, mi sa che ho preso da lui.",0.00286649982444942,0.7707803249359131,0.22635315358638763
<<Ciao anche a te papà>> ridacchio.,0.00038252718513831496,0.963921070098877,0.035696402192115784
<<Mamma eccoti finalmente!>> urla quest‘ultima correndo scalsa.,0.001095574232749641,0.9790249466896057,0.019879531115293503
"Ah no, adesso le sente.",0.005352207459509373,0.9933710098266602,0.0012767409207299352
<<Eve ti ho detto mille volte di non camminare scalza!>> la rimprovero attenta a non alzare troppo  la voce.,0.5998464226722717,0.39292463660240173,0.007228990085422993
"Ci sono due metodi pessimi per educare i figli : il primo è picchiarli, il secondo è urlargli in faccia.",0.9788838624954224,0.020939979702234268,0.00017615656543057412
"Non ho mai usato questi modi con Eve e mai lo farò, la educazione è importante ma con le sgrida non si ottiene niente, specialmente con i bambini.",0.9799768924713135,0.007502991706132889,0.012520069256424904
<<Mi stavo cambiando i calzini e quando ti ho sentita parlare sono corsa ad abbracciarti>> si difende facendo gli occhi dolci.,0.0006529586389660835,0.037334032356739044,0.9620130062103271
"Che leccaculo, proprio come la mamma.",0.0057545811869204044,0.19652430713176727,0.7977210283279419
"<<Va bene ti credo, ma la prossima volta mettili prima di venire o ti cresceranno le bollicine sui piedi>> le ricordo.",0.0017722465563565493,0.20654025673866272,0.7916874885559082
"Va beeenne, ora ti posso abbracciare?",0.0004539907968137413,0.3417218327522278,0.6578241586685181
">> mi chiede e senza risponderle, mi chino alla sua altezza e l‘abbraccio forte.",0.000270474556600675,0.1353265345096588,0.8644029498100281
Quando il suo profumo invade le mie narici mi sento già meglio.,0.00018080859445035458,0.0034756094682961702,0.9963435530662537
<<Amore mi sei mancata sai?>> le bacio le guanciotte rosse per il caldo.,0.0005217028665356338,0.01645645685493946,0.9830218553543091
Siamo a fine Agosto per cui il caldo è ancora nell‘aria.,0.004431533627212048,0.8810682892799377,0.11450019478797913
<<Anche tu!>> sorride mostrandomi i suoi dentini di latte.,0.00035014908644370735,0.09855540096759796,0.9010944366455078
"<<Adesso chiedo alla nonna se hai fatto la brava, così decido se darti il gelato o no>> mi rialzo.",0.019448380917310715,0.9576793909072876,0.02287227287888527
"In realtà gliel‘ho darei anche se avesse fatto la capricciosa, ma sshh.<<Mamma!>> chiamo mia madre entrando in cucina e poggiando i sacchetti contenenti il gelato.",0.005567254964262247,0.9911147356033325,0.0033179540187120438
"<<Ciao amore, ti serve qualcosa?",0.0005663722404278815,0.4514086842536926,0.5480248928070068
>>.,0.00037843157770112157,0.9515697956085205,0.04805176705121994
"<<Ciao mamma, oggi Eve ha fatto la brava?>> le chiedo guardando con la coda dell‘occhio mia figlia e così facendo la becco a farle l‘occhiolino.",0.00040711925248615444,0.9801918268203735,0.019401030614972115
"Però, furba la ragazza.",0.029749920591711998,0.6477134823799133,0.3225366473197937
<<Si dai è stata brava>>.,0.0005176742561161518,0.05615891143679619,0.9433233737945557
"<<Bene, allora ti sei meritata il gelato piccola>> le batto il cinque e dopo avergliene dato uno, se ne va in salotto.",0.0003354260988999158,0.032745111733675,0.9669194221496582
"Sono più che sicura che non abbia per niente fatto la brava, ma per l‘ennesima volta chiudo un un‘occhio.",0.060198135673999786,0.39835023880004883,0.541451632976532
"D‘altronde come si può dire ""no"" a quel visino dolce?",0.0029386149253696203,0.980512261390686,0.01654908061027527
.,0.00047831336269155145,0.9837180972099304,0.01580357737839222
"<<Kyle è già andato?>> domando a mia madre, mentre mi appoggio alla credenza.",0.0005701962509192526,0.9982098340988159,0.0012199433986097574
"<<Si, l‘ha chiamato Johanna, era tornata a casa ma non aveva le chiavi>>mi spiega ridacchiando.",0.0022533610463142395,0.9921282529830933,0.005618331953883171
"Johanna è la madre di Kyle, e conoscendola non mi stupisce che Kyle sia suo figlio : stesso umorismo di merda, stesso sorriso sempre allegro, stessa golosità e soprattutto stessa stupidaggine.",0.8209441304206848,0.1577109843492508,0.02134489081799984
"Al contrario loro invece c‘è Susan, la sorella di Kyle e secondogenita di Johanna, che a dodici anni è più intelligente e matura di loro.",0.0004883644287474453,0.931178092956543,0.06833361089229584
"<<Porello, è la quarta volta in una settimana che lo costringe a tornare a casa presto>> rido anche io.<<Già.",0.005968981888145208,0.6527026295661926,0.34132838249206543
"Comunque domani li invito a pranzo, tu ci sei vero?>>.<<Certo>>.",0.0003423503949306905,0.8293426036834717,0.17031502723693848
"<<Bene, ora vado a vedere che fa tuo padre>> sorride furba e esce dalla cucina andando a cercarlo.",0.000903285457752645,0.5385584235191345,0.46053823828697205
"Quando mio padre scompare allora vuol dire che sta progettando qualcosa e mia madre, poco impaziente quale è, lo spia sempre.",0.0021018264815211296,0.9914072155952454,0.006490974221378565
"Sono due pazzi, ma si amano moltissimo e se per qualche assurdo motivo dovesse capitarmi di innamorarmi di qualcuno, spero che quell‘amore sia come il loro: vero e eterno.",0.00016017495363485068,0.001883776974864304,0.9979560375213623
"Il giorno dopo, come ho promesso a mamma, sono tornata a casa presto per partecipare al pranzo di famiglia.",0.001077089924365282,0.5977430939674377,0.40117979049682617
"Di solito pranzo quando torno alle tre da lavoro, perciò quando ci sono questi pranzi mi sento più allegra.",0.00016796776617411524,0.0029269775841385126,0.9969050288200378
Soprattutto per l‘allegria che portano Johanna e i suoi figli.,0.0002176465786760673,0.01579265296459198,0.9839897155761719
"<<Scordatelo mamma, non metterò il costume da principessa.",0.09812521934509277,0.8983912467956543,0.0034835701808333397
Ormai ho quadi tredici anni!>> ribatte Susan.<<E sentiamo cosa vorresti metterti?,0.0004493081069085747,0.9896296858787537,0.009920945391058922
"<<Mi voglio vestire da cameriera sexy, insieme a Emma e Scarlett>> risponde sicura di se stessa.",0.001049000769853592,0.8641532063484192,0.1347978264093399
<<Oh dio sto per svenire>> commenta la madre facendoci ridacchiare.,0.03521563112735748,0.9258460998535156,0.038938332349061966
"A volte Johanna può essere leggermente esagerata, ma forse in questo caso ha un po‘ ragione.",0.03367100656032562,0.8953130841255188,0.07101596146821976
<<Scordatelo mocciosa>> commenta anche il fratello.,0.008737427182495594,0.9903097748756409,0.0009527658112347126
"Tu fatti gli affaracci tua, che a quattordici anni sei andato alla festa di Halloween travestimento da polpo>> lo prende in giro e tutti scoppiano a ridere.",0.00034230100573040545,0.06125807762145996,0.9383996725082397
Come scordarselo quel girono.,0.03267039731144905,0.959147036075592,0.008182570338249207
"Non che io mi sia vestita meglio con quel look che spruzzava ""il mondo di Patty"" da tutti i pori, ma almeno non ero vestita da polpo rosa.",0.9249797463417053,0.05209584906697273,0.022924447432160378
<<E questo come lo sai?>> apre la bocca stupito e lei mi indica con la testa.,0.0012356014922261238,0.9645376205444336,0.034226708114147186
<<Ops>>faccio una faccia fintamente innocente.,0.9150721430778503,0.08459807932376862,0.0003298180818092078
"<<Tu brutta spia, dopo non ti lamentare se le tue foto del Natale che abbiamo passato in Finlandia finiscono sulle mie storie instagram>> mi minaccia.",0.9658342003822327,0.03370074927806854,0.0004650720802601427
"Bastardo, ingrato, stronzo, irrispettoso e odioso che non è altro, se ci prova lo uccido.",0.9959965944290161,0.00368477962911129,0.00031871855026111007
Cazzo quel Natale avevo quindici anni appena ed  assomigliavo al mostro della palude con quei denti da castoro e capelli corti fino all‘orecchio.,0.8483815789222717,0.10678437352180481,0.044834036380052567
Mi vengono i brividi solo a ricordarmelo.,0.0005931705818511546,0.009861425496637821,0.9895454049110413
<<Tu fallo e le foto del tuo primo bagno diventeranno di dominio pubblico>> mi difende Johanna.,0.0032063161488622427,0.9955446124076843,0.0012490908848121762
Adoro questa donna.<<Grazie,0.00012044420145684853,0.0013210136676207185,0.9985585808753967
Jo>> le batto il pugno.,0.0015520121669396758,0.9771551489830017,0.021292857825756073
<<Per fortuna che ero io tuo figlio>> brontola come un bambino.,0.03585779294371605,0.9145066738128662,0.04963552579283714
<<Tranquillo ci sono io a difenderti>> si intromette mia figlia.,0.0007187068113125861,0.9969239830970764,0.0023572829086333513
Bah e tutta questa gentilezza dove l‘ha presa?.,0.0011563025182113051,0.19364304840564728,0.8052006959915161
Di sicuro non da me.<<Oh tiè questo>> mi fa la linguaccia.,0.8439155220985413,0.1504652053117752,0.005619274452328682
"<<Grazie eh, e io che ti porto sempre il gelato>> mi fingo dispiaciuta.",0.7215962409973145,0.07241635024547577,0.20598742365837097
"<<Difendo anche te mamma, ma questa volta zio Kyle ha ragione.",0.0008939126273617148,0.7472721338272095,0.251833975315094
Non si la spia>>.,0.37951070070266724,0.6079983711242676,0.012490940280258656
Certe volte mi pento di averla educata così bene: ogni volta che provo a fare la maleducata lei mi riprende.,0.3295068144798279,0.08384095877408981,0.5866522789001465
"Fortuna che la madre ero io.<<La mia nipote è la migliore, diglielo che queste cose non si fanno>> sorride mia madre.",0.0003168934490531683,0.023289687931537628,0.9763934016227722
"Oh ma dai.<<Hey io sono tua figlia e io sono tua madre, dovreste prendere le mie parti>> mi rivolgo alla nonna e nipote che ridacchiano.",0.003365753684192896,0.9788356423377991,0.017798664048314095
Loro sono le mie donne e ogni volta che le vedo così mi rallegro.,0.00014435534831136465,0.0021736840717494488,0.9976819753646851
"<<Amore io sono dalla tua parte, Kyle mi sta antipatico>> si intromette anche papà e guarda male il diretto interessato.",0.9940207600593567,0.005733645986765623,0.0002455630456097424
